Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
32363439,01/08/2016 12:05:41 AM,,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11229,2177 EAST   21 STREET,EAST   21 STREET,,,,,ADDRESS,BROOKLYN,,N/A,Open,,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,01/08/2016 12:00:00 AM,15 BROOKLYN,BROOKLYN,998051,157578,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.59918073051626,-73.95030250845852,"(40.59918073051626, -73.95030250845852)"
32360315,01/08/2016 12:05:41 AM,,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11229,2177 EAST   21 STREET,EAST   21 STREET,,,,,ADDRESS,BROOKLYN,,N/A,Open,,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,01/08/2016 12:00:00 AM,15 BROOKLYN,BROOKLYN,998051,157578,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.59918073051626,-73.95030250845852,"(40.59918073051626, -73.95030250845852)"
32363507,01/08/2016 12:05:41 AM,,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11229,2177 EAST   21 STREET,EAST   21 STREET,,,,,ADDRESS,BROOKLYN,,N/A,Open,,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,01/08/2016 12:00:00 AM,15 BROOKLYN,BROOKLYN,998051,157578,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.59918073051626,-73.95030250845852,"(40.59918073051626, -73.95030250845852)"
32362827,01/08/2016 12:04:46 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11205,106 STEUBEN STREET,STEUBEN STREET,PARK AVENUE,MYRTLE AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Open,01/08/2016 08:04:46 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,02 BROOKLYN,BROOKLYN,994435,192262,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.69438568886847,-73.96327137822588,"(40.69438568886847, -73.96327137822588)"
32362841,01/08/2016 12:04:35 AM,,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11238,407 WASHINGTON AVENUE,WASHINGTON AVENUE,,,,,ADDRESS,BROOKLYN,,N/A,Open,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,01/08/2016 12:00:00 AM,02 BROOKLYN,BROOKLYN,993848,189259,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.68614380214244,-73.96539246550651,"(40.68614380214244, -73.96539246550651)"
32362107,01/08/2016 12:02:43 AM,,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,11427,86-92 209 STREET,209 STREET,86 DRIVE,WHITEHALL TERRACE,,,ADDRESS,QUEENS VILLAGE,,Precinct,Assigned,01/08/2016 08:02:43 AM,Your complaint has been received by the Police Department and additional information will be available later.,01/08/2016 01:57:42 AM,08 QUEENS,QUEENS,1051244,202852,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.723204910224354,-73.75830492089267,"(40.723204910224354, -73.75830492089267)"
32365151,01/08/2016 12:00:50 AM,,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10459,1215 UNION AVENUE,UNION AVENUE,,,,,ADDRESS,BRONX,,N/A,Open,,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,01/08/2016 12:00:00 AM,03 BRONX,BRONX,1012152,241399,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.82921588079012,-73.89917733671884,"(40.82921588079012, -73.89917733671884)"
32362357,01/08/2016 12:00:46 AM,,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10453,30 RICHMAN PLAZA,RICHMAN PLAZA,,,,,ADDRESS,BRONX,,N/A,Open,,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,01/08/2016 12:00:00 AM,05 BRONX,BRONX,1005686,249693,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.85199854455221,-73.9225154223141,"(40.85199854455221, -73.9225154223141)"
32366613,01/08/2016 12:00:46 AM,,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10453,30 RICHMAN PLAZA,RICHMAN PLAZA,,,,,ADDRESS,BRONX,,N/A,Open,,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,01/08/2016 12:00:00 AM,05 BRONX,BRONX,1005686,249693,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.85199854455221,-73.9225154223141,"(40.85199854455221, -73.9225154223141)"
32365095,01/07/2016 11:59:53 PM,,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10456,1350 GRAND CONCOURSE,GRAND CONCOURSE,,,,,ADDRESS,BRONX,,N/A,Open,,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,01/07/2016 12:00:00 AM,04 BRONX,BRONX,1007876,244476,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.83767382859059,-73.91461762857192,"(40.83767382859059, -73.91461762857192)"
32361933,01/07/2016 11:59:38 PM,,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10452,1038 ANDERSON AVENUE,ANDERSON AVENUE,,,,,ADDRESS,BRONX,,N/A,Open,,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,01/07/2016 12:00:00 AM,04 BRONX,BRONX,1004593,242831,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.83316695341027,-73.92648709670974,"(40.83316695341027, -73.92648709670974)"
32362014,01/07/2016 11:58:48 PM,,NYPD,NYPD,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,10036,667 10 AVENUE,10 AVENUE,WEST 46 STREET,WEST 47 STREET,,,ADDRESS,NEW YORK,,,Unassigned,01/08/2016 07:58:48 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,04 MANHATTAN,MANHATTAN,986088,217089,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76253541094182,-73.99336511754211,"(40.76253541094182, -73.99336511754211)"
32362677,01/07/2016 11:58:37 PM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11208,720 FORBELL STREET,FORBELL STREET,LORING AVENUE,STANLEY AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Assigned,01/08/2016 07:58:37 AM,Your complaint has been received by the Police Department and additional information will be available later.,01/08/2016 01:31:17 AM,05 BROOKLYN,BROOKLYN,1022742,182321,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.66702208737047,-73.86124902566513,"(40.66702208737047, -73.86124902566513)"
32365008,01/07/2016 11:58:11 PM,,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11216,22 HALSEY STREET,HALSEY STREET,,,,,ADDRESS,BROOKLYN,,N/A,Open,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,01/07/2016 12:00:00 AM,03 BROOKLYN,BROOKLYN,997392,187561,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.681478627500866,-73.95261716905709,"(40.681478627500866, -73.95261716905709)"
32366104,01/07/2016 11:58:10 PM,,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11216,22 HALSEY STREET,HALSEY STREET,,,,,ADDRESS,BROOKLYN,,N/A,Open,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,01/07/2016 12:00:00 AM,03 BROOKLYN,BROOKLYN,997392,187561,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.681478627500866,-73.95261716905709,"(40.681478627500866, -73.95261716905709)"
32361035,01/07/2016 11:58:08 PM,,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11220,,,,,ERIK PLACE,67 STREET,INTERSECTION,BROOKLYN,,Precinct,Open,01/08/2016 07:58:08 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,10 BROOKLYN,BROOKLYN,979702,169955,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.63316261012508,-74.01638571649183,"(40.63316261012508, -74.01638571649183)"
32361215,01/07/2016 11:57:21 PM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10009,107 AVENUE A,AVENUE A,EAST 6 STREET,EAST 7 STREET,,,ADDRESS,NEW YORK,,Precinct,Assigned,01/08/2016 07:57:21 AM,Your complaint has been received by the Police Department and additional information will be available later.,01/08/2016 12:48:58 AM,03 MANHATTAN,MANHATTAN,988782,203746,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.725911243215336,-73.9836492044371,"(40.725911243215336, -73.9836492044371)"
32363684,01/07/2016 11:57:07 PM,,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10472,1025 BOYNTON AVENUE,BOYNTON AVENUE,,,,,ADDRESS,BRONX,,N/A,Open,,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,01/07/2016 12:00:00 AM,09 BRONX,BRONX,1018209,239723,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.824594531459304,-73.8772991398564,"(40.824594531459304, -73.8772991398564)"
32359537,01/07/2016 11:57:06 PM,,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10472,1025 BOYNTON AVENUE,BOYNTON AVENUE,,,,,ADDRESS,BRONX,,N/A,Open,,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,01/07/2016 12:00:00 AM,09 BRONX,BRONX,1018209,239723,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.824594531459304,-73.8772991398564,"(40.824594531459304, -73.8772991398564)"
32364456,01/07/2016 11:57:00 PM,,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,10036,577 9 AVENUE,9 AVENUE,W 41 ST,W 42 ST,,,ADDRESS,NEW YORK,,N/A,Open,,,,04 MANHATTAN,MANHATTAN,986254,215531,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.75825906445295,-73.99276634884964,"(40.75825906445295, -73.99276634884964)"
32367250,01/07/2016 11:56:43 PM,,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10032,515 WEST  168 STREET,WEST  168 STREET,,,,,ADDRESS,NEW YORK,,N/A,Open,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,01/07/2016 12:00:00 AM,12 MANHATTAN,MANHATTAN,1001531,245371,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.84014503831177,-73.93754560817383,"(40.84014503831177, -73.93754560817383)"
32364068,01/07/2016 11:56:03 PM,,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10010,215 EAST   26 STREET,EAST   26 STREET,,,,,ADDRESS,NEW YORK,,N/A,Open,,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,01/07/2016 12:00:00 AM,06 MANHATTAN,MANHATTAN,989499,209041,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.74044431985478,-73.98105824209722,"(40.74044431985478, -73.98105824209722)"
32366051,01/07/2016 11:56:00 PM,,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11230,,,,,AVENUE J,OCEAN PARKWAY,INTERSECTION,BROOKLYN,,N/A,Open,,,,12 BROOKLYN,BROOKLYN,992447,166680,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.624170800489615,-73.97047149845827,"(40.624170800489615, -73.97047149845827)"
32363798,01/07/2016 11:55:48 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,Other (Explain Below),10461,2034 LURTING AVENUE,LURTING AVENUE,,,,,LATLONG,BRONX,,N/A,Pending,02/06/2016 11:55:48 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/07/2016 11:59:21 PM,01 BRONX,BRONX,1023651,250523,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.854214751777675,-73.85757265727034,"(40.854214751777675, -73.85757265727034)"
32365020,01/07/2016 11:55:15 PM,,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11214,8224 BAY PARKWAY,BAY PARKWAY,,,,,ADDRESS,BROOKLYN,,N/A,Open,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,01/07/2016 12:00:00 AM,11 BROOKLYN,BROOKLYN,986569,159343,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.60403573940088,-73.99164865896871,"(40.60403573940088, -73.99164865896871)"
32362229,01/07/2016 11:55:09 PM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11213,259A KINGSTON AVENUE,KINGSTON AVENUE,ST JOHNS PLACE,LINCOLN PLACE,,,ADDRESS,BROOKLYN,,Precinct,Assigned,01/08/2016 07:55:09 AM,Your complaint has been received by the Police Department and additional information will be available later.,01/08/2016 02:03:25 AM,08 BROOKLYN,BROOKLYN,1000326,183702,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67088170276445,-73.94204798474921,"(40.67088170276445, -73.94204798474921)"
32366136,01/07/2016 11:55:06 PM,,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10472,1025 BOYNTON AVENUE,BOYNTON AVENUE,,,,,ADDRESS,BRONX,,N/A,Open,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,01/07/2016 12:00:00 AM,09 BRONX,BRONX,1018209,239723,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.824594531459304,-73.8772991398564,"(40.824594531459304, -73.8772991398564)"
32362838,01/07/2016 11:54:53 PM,,DOT,Department of Transportation,Street Condition,Defective Hardware,Street,11373,,,,,WHITNEY AVENUE,CASE STREET,INTERSECTION,ELMHURST,,N/A,Open,01/17/2016 11:54:53 PM,The Department of Transportation requires 10 days to respond to this type of complaint.  Please note your Service Request number for future reference.,,04 QUEENS,QUEENS,1019040,211549,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74726127552869,-73.87444248255758,"(40.74726127552869, -73.87444248255758)"
32359806,01/07/2016 11:54:00 PM,,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11230,,,,,LAWRENCE AVENUE,MC DONALD AVENUE,INTERSECTION,BROOKLYN,,N/A,Open,,,,12 BROOKLYN,BROOKLYN,990676,168471,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.62908818067213,-73.97684956320424,"(40.62908818067213, -73.97684956320424)"
32363338,01/07/2016 11:53:33 PM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11229,1815 EAST 17 STREET,EAST 17 STREET,AVENUE R,MOORE PLACE,,,ADDRESS,BROOKLYN,,Precinct,Assigned,01/08/2016 07:53:33 AM,Your complaint has been received by the Police Department and additional information will be available later.,01/08/2016 01:58:52 AM,15 BROOKLYN,BROOKLYN,996536,159911,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.605586570194475,-73.95575378891145,"(40.605586570194475, -73.95575378891145)"
32364521,01/07/2016 11:53:00 PM,,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11420,135-11 116 AVENUE,116 AVENUE,135 ST,VAN WYCK EXPY,,,ADDRESS,South Ozone Park,,N/A,Open,,,,10 QUEENS,QUEENS,1038274,186754,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.67910849575307,-73.80522591180018,"(40.67910849575307, -73.80522591180018)"
32360140,01/07/2016 11:52:58 PM,01/08/2016 01:23:48 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10468,64 WEST 192 STREET,WEST 192 STREET,AQUEDUCT AVENUE,DR M L KING JR BOULEVARD,,,ADDRESS,BRONX,,Precinct,Closed,01/08/2016 07:52:58 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/08/2016 01:23:48 AM,07 BRONX,BRONX,1011514,255057,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.866705031077046,-73.90142718374899,"(40.866705031077046, -73.90142718374899)"
32361434,01/07/2016 11:52:26 PM,,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,10472,1207 BEACH AVENUE,BEACH AVENUE,GLEASON AVENUE,WESTCHESTER AVENUE,,,ADDRESS,BRONX,,Precinct,Open,01/08/2016 07:52:26 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,09 BRONX,BRONX,1021327,241829,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.83036235589997,-73.86602154214397,"(40.83036235589997, -73.86602154214397)"
32364291,01/07/2016 11:49:19 PM,01/08/2016 12:43:37 AM,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,11358,36-21 194 STREET,194 STREET,CROCHERON AVENUE,37 AVENUE,,,ADDRESS,FLUSHING,,Precinct,Closed,01/08/2016 07:49:19 AM,The Police Department responded to the complaint and determined that police action was not necessary.,01/08/2016 12:43:37 AM,11 QUEENS,QUEENS,1042866,217560,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76363405944853,-73.78840203307087,"(40.76363405944853, -73.78840203307087)"
32364686,01/07/2016 11:49:10 PM,,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,10472,1207 BEACH AVENUE,BEACH AVENUE,GLEASON AVENUE,WESTCHESTER AVENUE,,,ADDRESS,BRONX,,Precinct,Open,01/08/2016 07:49:10 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,09 BRONX,BRONX,1021327,241829,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.83036235589997,-73.86602154214397,"(40.83036235589997, -73.86602154214397)"
32362679,01/07/2016 11:48:53 PM,01/08/2016 01:22:43 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10467,308 EAST 207 STREET,EAST 207 STREET,PERRY AVENUE,HULL AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,01/08/2016 07:48:53 AM,The Police Department reviewed your complaint and provided additional information below.,01/08/2016 01:22:43 AM,07 BRONX,BRONX,1018497,258235,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.87540332989313,-73.8761639790349,"(40.87540332989313, -73.8761639790349)"
32366979,01/07/2016 11:48:31 PM,,DPR,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,Street,11211,271 HOOPER STREET,HOOPER STREET,MARCY AVENUE,HARRISON AVENUE,,,ADDRESS,BROOKLYN,,N/A,Open,01/15/2016 11:48:31 PM,The Department of Parks and Recreation usually requires 8 days to review a request and determine the appropriate action. Please note your Service Request number for future reference.,,01 BROOKLYN,BROOKLYN,996712,196596,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.70627859062753,-73.95505215998992,"(40.70627859062753, -73.95505215998992)"
32364789,01/07/2016 11:47:41 PM,01/08/2016 01:22:42 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10467,306 EAST 207 STREET,EAST 207 STREET,PERRY AVENUE,HULL AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,01/08/2016 07:47:41 AM,The Police Department issued a summons in response to the complaint.,01/08/2016 01:22:43 AM,07 BRONX,BRONX,1018483,258239,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.87541436296027,-73.87621458206596,"(40.87541436296027, -73.87621458206596)"
32361829,01/07/2016 11:47:06 PM,,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10462,2181 BARNES AVENUE,BARNES AVENUE,,,,,ADDRESS,BRONX,,N/A,Open,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,01/07/2016 12:00:00 AM,11 BRONX,BRONX,1021918,251165,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.85598441190991,-73.8638335146332,"(40.85598441190991, -73.8638335146332)"
32360337,01/07/2016 11:47:00 PM,,DEP,Department of Environmental Protection,Water System,NO WATER - WNW,,10033,624 WEST  176 STREET,WEST  176 STREET,ST NICHOLAS AVE,WADSWORTH AVE,,,ADDRESS,NEW YORK,,N/A,Open,,,,12 MANHATTAN,MANHATTAN,1001723,247656,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.84641631507794,-73.93684575710733,"(40.84641631507794, -73.93684575710733)"
32361859,01/07/2016 11:47:00 PM,,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,116 ST W,116 ST W,7 AVE,LENOX AVE,,,BLOCKFACE,,,N/A,Open,,,,Unspecified MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
